Result_id,Model_Name,Prompt_Version,Timestamp_SGT,Industry,Seniority_level,JD_ID,JD_framing,JD_Region,Frame_CV_ID,CV_framing,Hireability_Score,Hireability_Reason,Competence_Score,Competence_Reason,Fit_Score,Fit_Reason,Performance_Score,Performance_Reason,Leadership_Exhibited,Leadership_Control,Leadership_Effective,Leadership_Avg,Leadership_Reason,Status_Score,Status_Reason,Warmth_Score,Warmth_Reason,Recommendation,Raw_JSON,Error
JD001_FCL001,gemini-2.5-flash,region,2026-07-24 08:16:07,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL001,Agentic,6,"The candidate presents relevant experience in customer management and sales processes, indicating strong potential for the role.",4,"The candidate articulates their experience with CRM and sales processes, demonstrating a solid understanding of key sales functions.",5,"The candidate's experience in customer account management, CRM utilization, and achieving quotas aligns well with the core responsibilities.",6,Their past experience in managing accounts and achieving quotas suggests they would effectively complete assigned duties and meet performance targets.,3,2,3,2.67,"The cover letter focuses on individual contributions and ownership rather than explicit leadership or team control, typical for an entry-level role.",4,"As an entry-level candidate, they would likely start with standard professional status, with potential for growth based on performance.",3,"The cover letter is professional and direct, focusing on qualifications without explicitly conveying personal warmth or friendliness.",Interview,,
JD001_FCL002,gemini-2.5-flash,region,2026-07-24 08:16:18,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL002,Communal,6,"The candidate presents relevant experience in business development, client management, and CRM usage, making them a strong contender for the role.",4,"The candidate demonstrates competence through clear articulation of past responsibilities, including client development, metric tracking, and CRM utilization.",6,"The candidate's experience in developing client accounts, using CRM, and contributing to sales quotas aligns well with the job's core responsibilities and requirements.",6,"With experience in client development, sales processes, and CRM, the candidate is expected to adequately complete assigned duties and meet performance requirements.",3,3,3,3,"The cover letter does not provide specific examples of leadership or controlling team activities, which is typical for an entry-level application.",4,"As an entry-level candidate with relevant experience, they would likely attain a standard professional status within the sales team.",4,"The candidate's professional yet collaborative tone, mentioning 'relational skills' and a 'collaborative approach,' conveys a sense of warmth and sincerity.",Interview,,
JD001_FCL003,gemini-2.5-flash,region,2026-07-24 08:16:30,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL003,Agentic,6,"The candidate presents strong relevant experience and a professional demeanor, making them a positive prospect for an interview.",5,"The cover letter uses strong action verbs and demonstrates a clear understanding of sales processes, indicating high competence and skill.",7,"The candidate's experience directly aligns with nearly all listed responsibilities and requirements, indicating an excellent fit for the role.",6,"With demonstrated experience in key sales functions, the candidate is expected to perform assigned duties effectively and meet performance requirements.",4,3,4,3.67,"While demonstrating initiative and ownership in past roles, the cover letter does not explicitly highlight experience in leading or controlling team activities.",5,"Despite the entry-level nature of the role, the candidate's demonstrated competence and strategic thinking suggest they could quickly gain respect and influence.",3,"The cover letter is professional and formal, providing no specific indicators of warmth, friendliness, or sincerity beyond standard business communication.",Strong Interview,,
JD001_FCL004,gemini-2.5-flash,region,2026-07-24 08:16:42,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL004,Communal,6,"The candidate demonstrates relevant experience in customer acquisition, contract negotiation, and using sales-related software, aligning well with the job's core responsibilities.",4,"The candidate articulates their experience clearly and professionally, demonstrating a solid understanding of sales processes and relevant tools.",6,"The candidate's experience in customer acquisition, contract negotiation, and using performance tracking software directly aligns with the job's core duties.",6,The candidate's demonstrated experience in key sales functions suggests they would quickly meet and likely exceed performance expectations for this role.,3,4,3,3.33,"The cover letter highlights individual contributions and collaborative efforts, but lacks specific examples of leading teams or significant leadership responsibilities.",4,"While the candidate shows strong potential, this is an entry-level role, and initial status would be commensurate with that position within the organization.",3,"The cover letter is professional and polite, but does not offer specific details that would strongly convey personal warmth or friendliness.",Strong Interview,,
JD001_FCL013,gemini-2.5-flash,region,2026-07-24 08:16:58,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL013,Agentic,5,"The candidate presents relevant experience in sales operations, CRM, and outreach, aligning well with the core responsibilities of an entry-level sales position.",4,"The candidate articulates specific skills like CRM use, cold outreach, and reporting, suggesting a solid understanding of sales processes and tools.",6,"The candidate's background in sales operations, client acquisition, and CRM use directly addresses many key requirements and responsibilities of this entry-level role.",5,"With stated experience in managing accounts, client outreach, and reporting, the candidate is expected to competently fulfill the core duties of the position.",2,2,2,2.0,"The cover letter focuses on individual sales operations and technical skills, providing no specific evidence or examples of leadership experience or potential.",4,"For an entry-level position, the candidate's stated experience suggests they would achieve a standard level of professional respect and influence within the role.",3,"The cover letter is professional and concise, but it does not provide specific details or language that convey a strong sense of warmth or personal connection.",Interview,,
JD001_FCL014,gemini-2.5-flash,region,2026-07-24 08:17:10,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL014,Communal,5,"The candidate presents relevant experience in sales operations, outreach, and CRM, indicating a good foundational fit for an entry-level sales position.",4,"The candidate clearly articulates relevant skills like cold outreach, CRM use, and reporting, suggesting a capable and efficient professional.",5,"The candidate's background in sales operations, outreach, and CRM strongly aligns with the core responsibilities of this entry-level sales role.",5,"With experience in outreach, CRM, and reporting, the candidate is expected to adequately perform assigned duties and meet formal job requirements.",3,3,3,3,"The cover letter provides no specific evidence of leadership experience or potential, focusing instead on individual contributions and collaboration.",4,"As an entry-level candidate with relevant experience, they are expected to achieve a standard professional status within the organization.",3,"The cover letter is professional and concise, but it does not provide enough personal detail to strongly assess warmth or friendliness.",Interview,,
JD001_FCL015,gemini-2.5-flash,region,2026-07-24 08:17:22,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL015,Agentic,5,"The candidate presents relevant sales and client relations experience, indicating a positive potential fit for the role's responsibilities and requirements.",4,"The candidate's description of tasks like mastering portfolios, strategizing interactions, and leveraging software suggests a competent and skilled individual.",6,"The candidate's experience in cold calling, lead identification, client relations, and contract negotiation aligns strongly with many core job responsibilities and requirements.",6,"With demonstrated experience in key sales activities and software utilization, the candidate is likely to adequately complete assigned duties and meet performance requirements.",3,2,2,2,"The cover letter focuses on individual contributions and tasks, providing no specific evidence or examples of leadership experience or potential within a team context.",4,"Given the entry-level nature and the candidate's stated experience, they would likely attain a standard professional status within the sales team.",3,"The letter maintains a professional and direct tone, which is appropriate but does not convey strong personal warmth, friendliness, or sincerity.",Interview,,
JD001_FCL016,gemini-2.5-flash,region,2026-07-24 08:17:36,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL016,Communal,5,"The candidate demonstrates relevant experience in sales operations, client relations, cold calling, and contract negotiations, aligning well with entry-level sales responsibilities.",4,"The candidate articulates specific experiences like cold calling, lead identification, and preparing contract documentation, suggesting a solid foundation of relevant skills.",6,"The candidate's background in cold calling, client relations, sales reporting, and contract negotiation directly addresses key job responsibilities and requirements.",6,"With experience in core sales activities and a proactive approach to tracking metrics, the candidate is likely to meet the formal performance requirements of the role.",2,2,2,2,The cover letter focuses on individual contributions and collaboration rather than explicit leadership roles or team control.,4,"While an entry-level role inherently limits initial status, the candidate's proactive approach and relevant experience suggest potential for future prominence within the organization.",3,"The professional tone and mention of client relations suggest a polite demeanor, but the letter offers limited specific details to gauge personal warmth.",Interview,,
JD001_FCL017,gemini-2.5-flash,region,2026-07-24 08:17:50,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL017,Agentic,6,"The candidate's cover letter demonstrates direct experience in sales operations, account management, client outreach, and relevant software proficiency, aligning well with the job.",4,"The candidate's cover letter clearly articulates relevant experience in sales operations, CRM, and data interpretation, suggesting strong competence for the role.",6,"The candidate's experience in sales operations, client outreach, account management, and CRM use directly matches the job's core duties and requirements.",6,"The candidate's demonstrated experience in sales operations, client engagement, and reporting indicates a strong likelihood of meeting job performance expectations effectively.",3,2,3,2.67,"The cover letter focuses on individual contributions and skills relevant to sales tasks, providing no specific evidence or examples of leadership capabilities.",4,"While competent for an entry-level role, the cover letter does not provide information suggesting immediate high prominence or influence within the organization.",3,"The letter is professionally written and focused on qualifications, offering no specific cues to evaluate the candidate's personal warmth or interpersonal style.",Interview,,
JD001_FCL018,gemini-2.5-flash,region,2026-07-24 08:18:01,Sales / Business Development,Entry-Level,JD001,Neutral,USA,FCL018,Communal,5,"The candidate demonstrates relevant experience in sales operations, client engagement, and technical skills that align well with the entry-level sales responsibilities.",4,"The candidate presents a professional background with relevant technical skills, including CRM and data interpretation, suggesting a solid foundation for the role.",5,"The candidate's experience in sales operations, client engagement, and data management aligns well with the core responsibilities and technical requirements of the job.",5,"With a background in sales operations and relevant technical skills, the candidate is expected to adequately complete assigned duties and meet performance requirements.",3,3,3,3,"The cover letter focuses on individual contributions and technical skills, providing no specific evidence to assess leadership potential for this entry-level role.",4,"As an entry-level candidate with relevant foundational skills, they are expected to achieve a moderate level of professional status within the organization.",3,"The cover letter is professional and formal, but does not provide specific cues to assess the candidate's personal warmth, trustworthiness, or friendliness.",Interview,,
